#separator:tab
#html:true
#notetype:Basic
#deck:00 Reading Room::01 Medical Terms
#tags:medical-word-parts
#columns:Front	Back
cyt-	<i>Greek</i><br>cell (from kytos, "hollow vessel, container")<br><span class="examples">e.g. cytotoxic, cytoplasm, leukocyte, cytokine</span><br>🎭 The professor cites the cell as the basic unit.
tox-	<i>Greek</i><br>poison (from toxikon pharmakon, "poison for the bow", ult. from toxon "bow")<br><span class="examples">e.g. cytotoxic, toxin, toxicology</span><br><hr><b>mnemonic:</b><br>🎭 The fox ate poison bait and grew sick from toxins.<br>🎭 Rocks near the spill leached poison into the stream.<br>🎭 The socks smelled of poison after the toxic spill.
phleb-	<i>Greek</i><br>vein<br><span class="examples">e.g. phlebotomy, phlebitis</span><br><hr><b>mnemonic:</b><br>🎭 The nurse flubbed the vein, spilling blood everywhere.<br>🎭 Flo pressed a cotton ball over the punctured vein.<br>🎭 The flabby vein bulged before the needle slid in.
-tomy	<i>Greek</i><br>cutting, incision<br><span class="examples">e.g. phlebotomy, lobotomy, tracheotomy, anatomy</span><br><hr><b>mnemonic:</b><br>🎭 Tommy sliced the rope with one clean cut.<br>🎭 The surgeon's tummy incision was one precise cut.<br>🎭 Tommy's scalpel made a swift, careful cutting motion.
auto-	<i>Greek</i><br>self<br><span class="examples">e.g. autologous, autoimmune, autopsy, autonomous</span><br><hr><b>mnemonic:</b><br>🎭 The auto drove itself down the empty highway.<br>🎭 Otto fixed his own car all by himself.<br>🎭 The auto-pilot flew the plane without any pilot.
-log-	<i>Greek</i><br>relation, proportion (from logos, "word/reason/ratio")<br><span class="examples">e.g. autologous, homologous, analogous</span><br>🎭 The log was split into same-proportion sections.
-ous	<i>Latin</i><br>having the quality of, full of<br><span class="examples">e.g. autologous, nervous, dangerous, autonomous, homogeneous, heterogeneous</span><br>🎭 The bus overflows, full of cheering people.
-logy	<i>Greek</i><br>study of<br><span class="examples">e.g. hematology, biology, cardiology, oncology</span><br><hr><b>mnemonic:</b><br>🎭 She logged every star while studying astronomy.<br>🎭 The logger studied tree rings to learn their age.<br>🎭 His logbook recorded each experiment he studied closely.
lob-	<i>Greek</i><br>lobe (a rounded part that sticks out — hanging for the earlobe, bulging for lung/liver/brain)<br><span class="examples">e.g. lobotomy, lobectomy</span><br><hr><b>mnemonic:</b><br>🎭 The tennis player lobbed the ball in a round arc.<br>🎭 A soft lob arced over the net's rounded curve.<br>🎭 The surgeon removed the lung's rounded lobe carefully.
-tain	<i>Latin</i><br>to hold (from tenēre)<br><span class="examples">e.g. pertain, contain, retain, maintain, sustain</span><br><hr><b>mnemonic:</b><br>🎭 The cowboy managed to hold and contain the runaway train.<br>🎭 Rain filled the tank, and the lid had to contain it.<br>🎭 The chain could barely retain the struggling bull.
per-	<i>Latin</i><br>through<br><span class="examples">e.g. pertain, permeate, perforate</span><br>🎭 Purse strings yank straight through each brass loop.
con-	<i>Latin</i><br>with, together<br><span class="examples">e.g. contain, connect, congregate, consensus, preconceive</span><br><hr><b>mnemonic:</b><br>🎭 Neighbors congregate together on the porch every evening.<br>🎭 Old friends reconnect, holding hands together after years apart.<br>🎭 The jury reached consensus, agreeing together on the verdict.
re-	<i>Latin</i><br>back, again<br><span class="examples">e.g. retain, return, recur, refractory</span><br><hr><b>mnemonic:</b><br>🎭 She returns the library book, promising to borrow it again.<br>🎭 His migraines recur again, striking back every single month.<br>🎭 The refractory fever kept coming back despite every medicine again.
manu-	<i>Latin</i><br>hand<br><span class="examples">e.g. maintain, manual, manufacture</span><br><hr><b>mnemonic:</b><br>🎭 The manual guides her hands through each delicate repair.<br>🎭 Workers manufacture chairs by hand in the tiny workshop.<br>🎭 He struggled to maintain his handhold on the icy rope.
sub-	<i>Latin</i><br>under, up from below (assimilates to sus- before t, as in sustain)<br><span class="examples">e.g. sustain, subcutaneous, submit</span><br>🎭 The submarine dives under the boat, then floats up.
plas-	<i>Greek</i><br>to form, mold<br><span class="examples">e.g. plasma, protoplasm, cytoplasm, neoplasm</span><br>🎭 put glass water in the mold
-ma	<i>Greek</i><br>result of an action, thing formed<br><span class="examples">e.g. plasma, trauma, stigma, coma</span><br>🎭 Curtain falls on drama the cast just made.
allo-	<i>Greek</i><br>other, different<br><span class="examples">e.g. allogeneic, allergy, allopathic</span><br><hr><b>mnemonic:</b><br>🎭 His allergy flares from another person's cat dander.<br>🎭 The allogeneic transplant used cells from a different, unrelated donor.<br>🎭 Allopathic medicine treats illness through methods different from folk cures.
-gen-	<i>Greek</i><br>race, kind, birth, origin (from genos — distinct from the "produce/cause" sense of -gen in pathogen)<br><span class="examples">e.g. allogeneic, syngeneic, xenogeneic, genesis, homogeneous, heterogeneous</span><br><hr><b>mnemonic:</b><br>🎭 Genesis tells the story of life's very origin.<br>🎭 The xenogeneic graft came from an entirely different species' origin.<br>🎭 Being syngeneic, the twins share one identical genetic origin.
tax-	<i>Greek</i><br>arrangement, order (from taxis)<br><span class="examples">e.g. taxonomy, taxidermy, ataxia</span><br>🎭 Taxi station keeps the arrangement of taxis, they park in order
-nomy	<i>Greek</i><br>system of order/management, method (from nomos, "law, custom, management")<br>nom + suffix -y — names the whole field/study, not just the bare root <b>nom</b><br><span class="examples">e.g. taxonomy, astronomy, economy</span><br>🎭 Enemy of my business manages his office with a CRM system.
ana-	<i>Greek</i><br>up, apart, throughout (from ana)<br><span class="examples">e.g. anatomy, anaphylaxis, anabolism</span><br>🎭 Anna cut the banana up and apart.
an-	<i>Greek</i><br>not, without (a- before a consonant, an- before a vowel — negative prefix, distinct from ana- "up, apart, throughout")<br><span class="examples">e.g. anaemia, anoxia, anesthesia</span><br><hr><b>mnemonic:</b><br>🎭 Without enough oxygen, the climber collapsed from anoxia.<br>🎭 The surgeon's anesthesia left him feeling nothing at all.<br>🎭 Pale and weak, she lacked iron, a classic case of anemia.
onc-	<i>Greek</i><br>mass, tumor, swelling (from onkos, "bulk/mass")<br><span class="examples">e.g. oncology, oncogene, oncogenic</span><br>🎭 Doctors bonk the tumor with radiation.
ster-	<i>Greek</i><br>solid, firm (from stereos — the "solid" sense survives literally through sterol/cholesterol, historical crystalline-extract terminology, not the compound class's physical state today)<br><span class="examples">e.g. steroid, sterol, cholesterol, corticosteroid</span><br><i>Mnemonic:</i> The stare of Medusa turns you to solid stone.
-oid	<i>Greek</i><br>resembling, having the form of (from eidos, "form, shape")<br><span class="examples">e.g. steroid, thyroid, adenoid, sarcoid, corticosteroid</span><br>🎭 The annoyed twin resembles her sister but is not her.
thyr-	<i>Greek</i><br>shield (from thyreos, an oblong door-shaped shield)<br><span class="examples">e.g. thyroid, thyroxine, thyroiditis</span><br>🎭 The third guard raises his shield to block the fire.
pneumon-	<i>Greek</i><br>lung (from pneumon/pleumon, "the lungs")<br><span class="examples">e.g. pneumonitis, pneumonia, pneumonectomy</span><br>🎭 A new device monitors the patient's lungs.
col-	<i>Greek</i><br>colon, large intestine (from kolon)<br><span class="examples">e.g. colitis, colonoscopy, colostomy</span><br><hr><b>mnemonic:</b><br>🎭 The colonoscopy camera slid deep into his winding colon.<br>🎭 Colitis inflamed the lining of her large intestine.<br>🎭 His colostomy bag now collects waste from the colon.
-itis	<i>Greek</i><br>inflammation<br><span class="examples">e.g. colitis, phlebitis, arthritis, pneumonitis, hepatitis</span><br><i>Mnemonic:</i> Why did teacher Miss Lee's throat get so inflamed?
neutr-	<i>Latin</i><br>neither, neutral (from neuter — neutrophils are named for staining neutrally with both acidic and basic dyes)<br><span class="examples">e.g. neutropenia, neutrophil</span><br><hr><b>mnemonic:</b><br>🎭 The new moving truck was painted neutral, neither red nor blue.
-penia	<i>Greek</i><br>poverty, lack, deficiency (from penia)<br><span class="examples">e.g. neutropenia, thrombocytopenia, osteopenia</span><br><hr><b>mnemonic:</b><br>🎭 One pea a day, Nia lacks food.
-rrhea	<i>Greek</i><br>flow, discharge (from rhoia, "flow, flux," root rhein "to flow")<br><span class="examples">e.g. diarrhea, rhinorrhea, amenorrhea</span><br><hr><b>mnemonic:</b><br>🎭 Rivers in Korea keep flowing after the storm.<br>🎭 Diarrhea sent him running, fluid flowing uncontrollably from his gut.<br>🎭 Rhinorrhea made her nose flow endlessly during the cold.<br>🎭 Amenorrhea meant no monthly flow arrived at all.
vir-	<i>Latin</i><br>poison, slimy liquid (from virus; modern medical sense "infectious agent/pathogen" is a 19th-c. narrowing of the classical "poison" sense)<br><span class="examples">e.g. virus, viral, virology, norovirus</span><br><hr><b>mnemonic:</b><br>🎭 The virus spread like a slimy poison through the crowded office.<br>🎭 Virology studies how tiny poisonous agents invade healthy cells.<br>🎭 The norovirus outbreak poisoned an entire cruise ship's dinner.<br>🎭 The viper's poison injects from its fangs.
cortic-	<i>Latin</i><br>bark, outer layer, rind (from cortex — refers to the adrenal cortex, the outer layer of the adrenal gland that produces these hormones)<br><span class="examples">e.g. corticosteroid, cortical, adrenocortical</span><br><hr><b>mnemonic:</b><br>🎭 Inside the outer bark of the trunk, not its core, hosts ticks.
fract-	<i>Latin</i><br>break (from frangere, past participle fractus)<br><span class="examples">e.g. refractory, fracture, fragment</span><br>🎭 Protesters watched fracked ground beneath the settlement break open.
-ory	<i>Latin</i><br>relating to, tending to (adjective-forming suffix)<br><span class="examples">e.g. refractory, respiratory, circulatory</span><br>🎭 Goggles are mandatory, relating to safety.
hepat-	<i>Greek</i><br>liver (from hepar/hepatos)<br><span class="examples">e.g. hepatitis, hepatology, hepatomegaly</span><br>🎭 Hep doctor pats the flank, spots a fat liver.
-kine	<i>Greek</i><br>movement (from kinein, "to move")<br><span class="examples">e.g. cytokine, kinetic, kinesis</span><br><hr><b>mnemonic:</b><br>🎭 The kinetic dancer moves faster than the music.<br>🎭 Cytokines move through blood, signaling immune cells.<br>🎭 Kinesis describes how cells move toward light.<br>🎭 The King's wine falls down in a slow movement.
syn-	<i>Greek</i><br>together, with (assimilates before some consonants, e.g. sym- before p/b/m)<br><span class="examples">e.g. syndrome, synthesis, symptom</span><br><hr><b>mnemonic:</b><br>🎭 Singing together, we blend every voice as one.
-drome	<i>Greek</i><br>running, course (from dromos)<br><span class="examples">e.g. syndrome, hippodrome</span><br>🎭 Drew races toward Rome's ancient chariot course.
pharmaco-	<i>Greek</i><br>drug, medicine (from pharmakon)<br><span class="examples">e.g. pharmacovigilance, pharmacology, pharmacokinetics</span><br><hr><b>mnemonic:</b><br>🎭 The pharmacist studies how each drug moves through the body.<br>🎭 This farm sells no crops, only drug prescriptions.<br>🎭 The pharmacy stocks every drug for every illness.
vigilance	<i>Latin</i><br>watchfulness (from vigilantia, "wakefulness, watchful attention")<br><span class="examples">e.g. pharmacovigilance, vigilant</span><br><hr><b>mnemonic:</b><br>🎭 The vigilant guard watches the gate all night long.<br>🎭 Nurses stay vigilant, watching drug side effects closely.<br>🎭 A vigilante watches the street, alert to every danger.
morb-	<i>Latin</i><br>disease, sickness (from morbus)<br><span class="examples">e.g. morbidity, morbid, comorbidity</span><br><hr><b>mnemonic:</b><br>🎭 More disease appeared inside the fortune teller's orb.
-id	<i>Latin</i><br>adjective-forming suffix: characterized by, given to (from -idus)<br><span class="examples">e.g. morbid, rigid, acid</span><br>🎭 This overloaded grid is given to blackouts.
-ity	<i>Latin</i><br>noun-forming suffix: state or condition of (from -itas)<br><span class="examples">e.g. morbidity, mortality, trinity</span><br><hr><b>mnemonic:</b><br>🎭 Trinity is the condition of three being fully together.
mort-	<i>Latin</i><br>death (from mors/mortis)<br><span class="examples">e.g. mortality, mortal, postmortem</span><br>🎭 The mortar fires, bringing sudden death.
-al	<i>Latin</i><br>adjective-forming suffix: pertaining to, characterized by (from -alis)<br><span class="examples">e.g. mortal, natal, comical</span><br><hr><b>mnemonic:</b><br>🎭 The prenatal class pertains to preparing for birth.<br>🎭 A comical joke pertains to what's actually funny.<br>🎭 His mortal wound pertains directly to his death.
ad-	<i>Latin</i><br>to, toward, near<br><span class="examples">e.g. adjoining, adhere, adjacent</span><br><hr><b>mnemonic:</b><br>🎭 Add a dash, leaning toward the next word.
de-	<i>Latin</i><br>down, away / thoroughly, completely (intensive sense)<br><span class="examples">e.g. depict, decompose, deactivate</span><br><hr><b>mnemonic:</b><br>🎭 Declaring the old contract completely null and void, the judge decided.
pict	<i>Latin</i><br>to paint (from pictus, ptc. of pingere)<br><span class="examples">e.g. depict, picture, pictorial</span>
pre-	<i>Latin</i><br>before, in front of (from prae)<br><span class="examples">e.g. preconceive, predict, prevent, premise</span><br>🎭 The priest walks before the bride.
-ceive	<i>Latin</i><br>to take, seize (from capere)<br><span class="examples">e.g. preconceive, receive, deceive, perceive</span><br>🎭 Cy weaves a rug, then seizes the ends.
homo-	<i>Greek</i><br>same (from homos — distinct from Latin homo "man", as in homicide, and from the biology term homogenous "of common descent")<br><span class="examples">e.g. homogeneous, homologous, homozygous</span>
hetero-	<i>Greek</i><br>other, different (from heteros, "the other of two; of another kind")<br><span class="examples">e.g. heterogeneous, heterozygous, heterodox</span>
-mise	<i>Latin</i><br>to send, to put (from mittere, past participle missus)<br><span class="examples">e.g. premise, promise, demise, compromise</span>
heur-	<i>Greek</i><br>find, discover (from heuriskein; cf. "eureka")<br><span class="examples">e.g. heuristic, eureka</span>
-istic	<i>Greek</i><br>pertaining to, of the nature of<br><span class="examples">e.g. heuristic, characteristic, linguistic</span>
ped-	<i>Greek</i><br>child (English-shape variant of paid-, from παῖς/παιδός, "child" — regular Greek αι → English "e" sound shift; same root as paideia)<br><span class="examples">e.g. pediatric, pediatrician, pedagogy</span><br>🎭 The pedals wobble as a child learns to ride.
